0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/image.svg HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/archive.svg HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/reminder.svg HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/unpinned.svg HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/Red.png HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/green.png HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/orange.png HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/white.png HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/lightyellow.png HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 13819
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/skyblue.png HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/blue.png HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/purple.png HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/pink.png HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/brown.png HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/list1.png HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/notes.svg HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/label.svg HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/trash.svg HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/grey.png HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:01 +0530] "GET /ToDoProject/images/gridlist.svg HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:14 +0530] "GET /ToDoProject/getUser HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:14 +0530] "GET /ToDoProject/note/getLabelAllLabels HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:07:14 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 13819
0:0:0:0:0:0:0:1 - - [04/Jan/2018:10:08:15 +0530] "GET /ToDoProject/ HTTP/1.1" 200 4196
