0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/images/profile.jpg HTTP/1.1" 200 6714
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/images/gridlist.svg HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/images/list1.png HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/images/colors.svg HTTP/1.1" 200 49099
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/images/colorpallet.svg HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:15:22 +0530] "GET /ToDoProject/images/more.svg HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:19:17 +0530] "POST /ToDoProject/user/saveNote HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:19:17 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:19:30 +0530] "GET /ToDoProject/htmlpages/trash.html HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:19:30 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:19:30 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:19:30 +0530] "POST /ToDoProject/emptyTrash/101 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:19:30 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:31:57 +0530] "GET /ToDoProject/user/getAllNotes HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:48:22 +0530] "GET /ToDoProject/ HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:48:22 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:48:22 +0530] "GET /ToDoProject/services/loginService.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:48:22 +0530] "GET /ToDoProject/controller/loginController.js HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:48:22 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:48:22 +0530] "GET /ToDoProject/controller/ForgotPassword.js HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [12/Dec/2017:10:48:22 +0530] "GET /ToDoProject/controller/registerController.js HTTP/1.1" 200 548
